Dijkstra's algorithm:
Node   Distance
2      2147483647
4      2147483647
3      2147483647
10     2147483647
5      2147483647
8      2147483647
6      2147483647
9      2147483647
1      2147483647
7      0

Node   Distance
2      3
4      2147483647
3      13
10     2147483647
5      2147483647
8      2147483647
6      2147483647
9      2147483647
1      2147483647
7      0

Node   Distance
2      3
4      2147483647
3      13
10     2147483647
5      10
8      2147483647
6      4
9      2147483647
1      5
7      0

Node   Distance
2      3
4      2147483647
3      13
10     2147483647
5      10
8      2147483647
6      4
9      2147483647
1      5
7      0

Node   Distance
2      3
4      10
3      13
10     9
5      10
8      15
6      4
9      2147483647
1      5
7      0

Node   Distance
2      3
4      10
3      13
10     9
5      10
8      15
6      4
9      2147483647
1      5
7      0

Node   Distance
2      3
4      10
3      13
10     9
5      10
8      15
6      4
9      18
1      5
7      0

Node   Distance
2      3
4      10
3      13
10     9
5      10
8      15
6      4
9      18
1      5
7      0

Node   Distance
2      3
4      10
3      13
10     9
5      10
8      15
6      4
9      18
1      5
7      0

Node   Distance
2      3
4      10
3      13
10     9
5      10
8      15
6      4
9      18
1      5
7      0

Node   Distance
2      3
4      10
3      13
10     9
5      10
8      15
6      4
9      18
1      5
7      0
